classe,mean_R,mean_G,mean_B,luminosite
Tomato_Bacterial_spot,103.20847015380859,110.53068141937256,94.25021324157714,106.49213771820068
Tomato_Early_blight,107.64506225585937,111.63712654113769,99.01657772064209,109.00138607025147
Tomato_Late_blight,113.24583415985107,115.0193359375,102.03065452575683,113.00646438598633
Tomato_Leaf_Mold,110.91666526794434,115.9630084991455,113.70289287567138,114.20312900543213
Potato___Late_blight,116.68686695098877,118.92231101989746,105.75548515319824,116.75344715118408
Tomato__Tomato_mosaic_virus,118.54401569366455,116.06747417449951,116.95894947052003,116.91788349151611
Tomato__Tomato_YellowLeaf__Curl_Virus,114.54087467193604,123.60060997009278,90.44236736297607,117.1086778640747
Tomato_healthy,114.88721904754638,120.0290916442871,111.05892333984374,117.45775966644287
Tomato_Spider_mites_Two_spotted_spider_mite,121.58047580718994,118.69410667419433,107.55459766387939,118.29760932922363
Pepper__bell___Bacterial_spot,120.25639057159424,123.06937961578369,100.2620225906372,119.63868274688721
Tomato__Target_Spot,120.56078090667725,121.17475471496581,112.45645809173584,120.0045539855957
Pepper__bell___healthy,118.95949859619141,132.72310409545898,110.75250473022462,126.0969913482666
Potato___healthy,124.39834079742431,132.1028274536133,111.90596523284913,127.48294029235839
Tomato_Septoria_leaf_spot,131.05466003417968,133.8210126876831,119.01251468658447,131.30936546325682
Potato___Early_blight,135.65183963775635,141.02995929718017,115.91262073516846,136.55363693237305
