classe,height,width,ratio
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___Bacterial_spot,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
Pepper__bell___healthy,256,256,1.0
